직무,기술스택
데이터 엔지니어,"Python, PostgreSQL, SQL, 데이터베이스, 데이터 분석, 사업 전략, 데이터 마트, GitHub, Git, 데이터웨어 하우징"
임베디드 개발자,"Python, PostgreSQL, SQL, 데이터베이스, 데이터 분석, 사업 전략, 데이터 마트, GitHub, Git, 데이터웨어 하우징"
자바 개발자,"Java, Git, JavaScript, Spring Boot, Oracle, Spring Framework, MySQL, CSS, HTML, SQL"
.NET 개발자,"C / C++, Java, FastAPI, Docker, AWS, Nginx, Spring Boot, MySQL, Python, PyTorch"
"시스템,네트워크 관리자","C / C++, Java, FastAPI, Docker, AWS, Nginx, Spring Boot, MySQL, Python, PyTorch"
프론트엔드 개발자,"JavaScript, Git, React, TypeScript, HTML, CSS, Next.js, GitHub, PHP, Laravel"
하드웨어 엔지니어,"JavaScript, Git, React, TypeScript, HTML, CSS, Next.js, GitHub, PHP, Laravel"
DevOps / 시스템 관리자,
"QA,테스트 엔지니어","JIRA, Slack, 테스트 케이스, QA 엔지니어링, iOS, Android, 테스트 계획, Confluence, SQL, JavaScript"
안드로이드 개발자,"JavaScript, Git, React, TypeScript, HTML, CSS, Next.js, PHP, Laravel, React.js"
iOS 개발자,"JavaScript, Git, React, TypeScript, HTML, CSS, Next.js, PHP, Laravel, React.js"
"CTO,Chief Technology Officer",
서버 개발자,"Java, Spring Boot, Python, AWS, Oracle, JavaScript, Git, MySQL, Docker, MongoDB"
웹 개발자,"Java, JavaScript, HTML, CSS, Git, Oracle, Spring Framework, Spring Boot, TypeScript, React"
프로덕트 매니저,"Java, JavaScript, HTML, CSS, Git, Oracle, Spring Framework, Spring Boot, TypeScript, React"
개발 매니저,"Java, JavaScript, HTML, CSS, Git, Oracle, Spring Framework, Spring Boot, TypeScript, React"
Node.js 개발자,"Java, JavaScript, HTML, CSS, Git, Oracle, Spring Framework, Spring Boot, TypeScript, React"
"영상,음성 엔지니어","Java, JavaScript, HTML, CSS, Git, Oracle, Spring Framework, Spring Boot, TypeScript, React"
파이썬 개발자,
"C,C++ 개발자","Git, Java, AWS, JavaScript, MySQL, Spring Framework, TypeScript, MongoDB"
웹 퍼블리셔,
BI 엔지니어,
데이터 사이언티스트,"Python, SQL, Git, NLP, Linux, Docker, Tableau, ML, Scikit-Learn, GitHub"
빅데이터 엔지니어,"Python, SQL, Git, NLP, Linux, Docker, Tableau, ML, Scikit-Learn, GitHub"
기술지원,"Python, SQL, Git, NLP, Linux, Docker, Tableau, ML, Scikit-Learn, GitHub"
블록체인 플랫폼 엔지니어,"Python, SQL, Git, NLP, Linux, Docker, Tableau, ML, Scikit-Learn, GitHub"
머신러닝 엔지니어,
소프트웨어 엔지니어,"PostgreSQL, Oracle, Docker, GitHub, React, Java, Python, AWS, Node.js, Git"
크로스플랫폼 앱 개발자,"PostgreSQL, Oracle, Docker, GitHub, React, Java, Python, AWS, Node.js, Git"
DBA,"PostgreSQL, Oracle, Docker, GitHub, React, Java, Python, AWS, Node.js, Git"
