company,tech_stack,category
차봇모빌리티,Javascript,언어
차봇모빌리티,NodeJS,백엔드
차봇모빌리티,Python,언어
차봇모빌리티,MongoDB,데이터베이스
차봇모빌리티,Docker,데브옵스
차봇모빌리티,Swagger,기타
차봇모빌리티,Tensorflow,데이터
차봇모빌리티,ElasticSearch,기타
차봇모빌리티,Storybook,프론트엔드
차봇모빌리티,PHP,기타
차봇모빌리티,MySQL,데이터베이스
차봇모빌리티,Typescript,언어
차봇모빌리티,Redis,데이터베이스
차봇모빌리티,Google,기타
차봇모빌리티,Firebase,기타
차봇모빌리티,React,프론트엔드
차봇모빌리티,Native,프론트엔드
차봇모빌리티,GraphQL,기타
차봇모빌리티,Redux,기타
차봇모빌리티,ReactJS,프론트엔드
차봇모빌리티,ExpressJS,백엔드
차봇모빌리티,Kafka,데이터
차봇모빌리티,Objective-C,기타
차봇모빌리티,Flutter,기타
차봇모빌리티,Apollo,기타
차봇모빌리티,Github,기타
차봇모빌리티,Github,기타
차봇모빌리티,Action,기타
차봇모빌리티,Kibana,기타
차봇모빌리티,Notion,협업툴
차봇모빌리티,Slack,협업툴
차봇모빌리티,NestJS,백엔드
차봇모빌리티,Confluence,협업툴
차봇모빌리티,Jira,협업툴
차봇모빌리티,Jest,테스팅툴
차봇모빌리티,Hadoop,데이터
차봇모빌리티,Spark,데이터
차봇모빌리티,AWS,기타
차봇모빌리티,Redshift,데이터
차봇모빌리티,Styled-Components,프론트엔드
모노리스,Javascript,언어
모노리스,Python,언어
모노리스,NodeJS,백엔드
모노리스,MySQL,데이터베이스
모노리스,ReactJS,프론트엔드
모노리스,MongoDB,데이터베이스
모노리스,Redis,데이터베이스
모노리스,VueJS,프론트엔드
모노리스,Google,기타
모노리스,Firebase,기타
모노리스,SpringBoot,백엔드
모노리스,Kafka,데이터
모노리스,RabbitMQ,기타
모노리스,Java,언어
모노리스,Swift,언어
모노리스,C++,언어
모노리스,Hibernate,기타
모노리스,AWS,기타
모노리스,AuroraDB,데이터베이스
모노리스,FastAPI,백엔드
모노리스,ReactiveX,기타
모노리스,MyBatis,기타
모노리스,ElasticSearch,기타
모노리스,Swagger,기타
모노리스,Retrofit,기타
모노리스,Github,기타
모노리스,Docker,데브옵스
모노리스,Jenkins,데브옵스
모노리스,Gitlab,기타
모노리스,Kubernetes,데브옵스
모노리스,Grafana,데이터
모노리스,Selenium,테스팅툴
모노리스,Prometheus,기타
모노리스,JUnit,테스팅툴
모노리스,Helm,데브옵스
모노리스,Slack,협업툴
모노리스,Jira,협업툴
모노리스,Confluence,협업툴
모노리스,Notion,협업툴
모노리스,Styled-Components,프론트엔드
우아한형제들(배달의민족),Typescript,언어
우아한형제들(배달의민족),Java,언어
우아한형제들(배달의민족),Spring,백엔드
우아한형제들(배달의민족),SpringBoot,백엔드
우아한형제들(배달의민족),NodeJS,백엔드
우아한형제들(배달의민족),Javascript,언어
우아한형제들(배달의민족),Kafka,데이터
우아한형제들(배달의민족),HBase,데이터베이스
우아한형제들(배달의민족),Flink,데이터
우아한형제들(배달의민족),MongoDB,데이터베이스
우아한형제들(배달의민족),ElasticSearch,기타
우아한형제들(배달의민족),Kibana,기타
우아한형제들(배달의민족),Hadoop,데이터
우아한형제들(배달의민족),Spark,데이터
우아한형제들(배달의민족),Tensorflow,데이터
우아한형제들(배달의민족),Python,언어
우아한형제들(배달의민족),Pytorch,데이터
우아한형제들(배달의민족),MySQL,데이터베이스
우아한형제들(배달의민족),Go,언어
우아한형제들(배달의민족),Hibernate,기타
우아한형제들(배달의민족),Terraform,데브옵스
우아한형제들(배달의민족),Docker,데브옵스
우아한형제들(배달의민족),Kubernetes,데브옵스
우아한형제들(배달의민족),Jenkins,데브옵스
우아한형제들(배달의민족),Kotlin,언어
우아한형제들(배달의민족),Redis,데이터베이스
우아한형제들(배달의민족),ReactJS,프론트엔드
우아한형제들(배달의민족),Redux,기타
우아한형제들(배달의민족),RabbitMQ,기타
우아한형제들(배달의민족),VueJS,프론트엔드
우아한형제들(배달의민족),AWS,기타
우아한형제들(배달의민족),MariaDB,데이터베이스
우아한형제들(배달의민족),Github,기타
우아한형제들(배달의민족),MobX,기타
우아한형제들(배달의민족),Swift,언어
우아한형제들(배달의민족),ReactiveX,기타
우아한형제들(배달의민족),Tableau,기타
우아한형제들(배달의민족),R,언어
우아한형제들(배달의민족),Kubeflow,데이터
우아한형제들(배달의민족),C++,언어
우아한형제들(배달의민족),Retrofit,기타
우아한형제들(배달의민족),Glide,기타
